n,gruppo_bancario,nome,cognome,ruolo,genere,link
1,Intesa Sanpaolo,Carlo,Messina,CEO,M,
2,UniCredit,Andrea,Orcel,CEO,M,
3,Banco BPM,Giuseppe,Castagna,CEO,M,
4,Mediobanca,Alberto,Nagel,CEO,M,
5,Banca Mediolanum,Massimo Antonio,Doris,CEO,M,
6,BPER Banca,Gianni Franco,Papa,CEO,M,
7,Banca Monte dei Paschi di Siena,Luigi,Lovaglio,CEO,M,
8,Credem,Angelo,Campani,CEO,M,
9,Banca popolare di Sondrio,Mario Alberto,Pedranzini,CEO,M,
10,Banca Nazionale del Lavoro,Elena Patrizia,Goitini,CEO,F,https://bnl.it/it/Scopri-BNL/Chi-Siamo/BNL-Oggi/Organi-di-Governo
